"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"66","I Robbed A Bank","Hippie Sabotage","Vol. 2","4:09","US7SR1400017","https://open.spotify.com/track/4ZbxSqLBIBDzuur5qTVbJi"
"67","Book of Job","Nneka","My Fairy Tales","4:31","DEBL61402013","https://open.spotify.com/track/3gElWl8QsmchfSUzceKHyI"
"68","Faded","Berner","Prohibition","4:33","USUYG1054205","https://open.spotify.com/track/44WG43lprS0ZO3zQEBBOEc"
"69","M.O.P.E","Ambassadeurs","M.O.P.E","5:04","GBFBC1501258","https://open.spotify.com/track/4R3Cp4YmYqJEw3URx8eu5P"
"70","Moments","Upgrade","Moments","7:03","BEY921507275","https://open.spotify.com/track/0ArKrFIyDj1mOFLj2IdVjg"
"71","Aladin - Original Mix","Mandragora","Aladin","4:49","GBLV61520624","https://open.spotify.com/track/4ZBPl8bv68teqVD2OFMFmy"
"72","Sensimilla","Iriepathie","Aufwiederhören","5:03","ATI211306411","https://open.spotify.com/track/2qtCfal8Xh1tLsKXy6NbOy"
"73","Yeah Yeah Yeah","Kognitif","Soul Food","4:08","TCACF1576204","https://open.spotify.com/track/5u2chFalnZgdgN8K3YKxI0"
"74","Possible","Senix","Possible","7:10","DENV21000194","https://open.spotify.com/track/212LZxZJ2Ygi4tU7puWhw4"
"75","Bad Motherfucker - Original Mix","Mandragora","Bad Motherfucker","4:25","GBKQU1614345","https://open.spotify.com/track/7CAUC3iSamWOX2Az8eDaTj"
"76","Swan Lake","Blackalicious","Melodica","5:39","USA2P1212008","https://open.spotify.com/track/3modItPxv7WPVIuSMLW496"
"77","Black Widow","Ganja White Night","Mystic Herbalist","7:27","TCABL1338571","https://open.spotify.com/track/3Fpdu8wuyMA9RyNUilUqVU"
"78","DNA Activation - Original Mix","Mandragora","La Españolita","4:27","GBKQU1532524","https://open.spotify.com/track/6qyqO4lsQNlUMdf0Vccgx5"
"79","The Basis","Lack Of Afro","My Groove, Your Move","5:10","GBJSH0925708","https://open.spotify.com/track/5IVF6G0wk3icpfq9UUOmVx"
"80","Outside","TENDER","Outside","4:10","USBQU1600149","https://open.spotify.com/track/7Mvs7W9M0OWJbDMGKd9ile"
"81","From Nowhere - Draper Remix","Dan Croll","From Nowhere (Remixes)","3:39","GBUM71400560","https://open.spotify.com/track/74DaUipyqqHC1zPbSJ47iN"
"82","Skin Contest (feat. JSTJR)","ABSRDST","Love In The Making","3:59","USA2P1456027","https://open.spotify.com/track/42SIoYLgFhQpjQiHuAYK2N"
