"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"83","Earthwalker","Radikal Guru","Subconscious","4:50","PLE351300028","https://open.spotify.com/track/4M5NkB7cUsiIammerNmCmy"
"84","Atlas","Battles","Mirrored","7:07","GBBPW0700009","https://open.spotify.com/track/0RUpgzacb8DwZB5B3IPO23"
"85","Warten auf Korg","AKA AKA","Connected","6:14","DECY51524404","https://open.spotify.com/track/5aQbJmRI2ZAvtd0q64MWXm"
"86","EchoSysDub","Danakil","Danakil Meets ONDUBGROUND","4:01","FRPGB1702980","https://open.spotify.com/track/5sOx0PWrN130bsKBDYlLqY"
"87","Nyitány","Monika Juhasz-miczura","A Dzsungel Könyve / Jungle Book","4:46","HUAC60502455","https://open.spotify.com/track/6Z8NNmtWgpU2UieUXDNgXU"
"88","O-Yasumi Nasai","Ben Murray-Smith","The Opposite of Opposite","4:02","usdy41793632","https://open.spotify.com/track/4gaMN7Y6sh7xdXPEikrWXL"
"89","Ganjatherapie","Raggabund","Erste Welt","3:56","ATI211508508","https://open.spotify.com/track/2hQHEvuXMRgVmyewJPXvua"
"90","Terrorist","Karma","Terrorist","5:28","USQY51621637","https://open.spotify.com/track/3sTILrfXTqgroX8Wo5ZxAs"
"91","Wild! Crazy! Loco!","Dr. Syntax","Elaborate Anoraks","2:57","GB2X71100048","https://open.spotify.com/track/41Vd0iTkUOO4Rg8apZP6cq"
"92","Stoned","Heymoonshaker","Noir","4:11","FR9W11511649","https://open.spotify.com/track/22Py49XpLEOcu9zc1mEA78"
"93","Trippin'","Smokey Joe & The Kid","Nasty Tricks","4:21","FR6V81614193","https://open.spotify.com/track/0CKzuwKXUDbMjuLsKVZ7QY"
