"#","Title","Artist","Album","Duration","ISRC","Spotify URL"
"71","Champagne","Ganja White Night","Hybrid Distillery","3:50","TCACG1572873","https://open.spotify.com/track/12meTNzgcD8Eup11KXEDR6"
"72","Eyes Down","Ivy Lab","Peninsula EP","3:56","GBVPL1700013","https://open.spotify.com/track/3UveyvkQjB2CXE9A7vXOQf"
"73","Mr Majestic","Calibre","Mr. Majestic","5:21","GBZSD0400009","https://open.spotify.com/track/0wrg4FXpFKz1y1tYsZPJOw"
"74","Buffalo Charge","Dub Phizix","Buffalo Charge","5:40","UK92K1400101","https://open.spotify.com/track/2xqb6Drc3FykVqzWZ1TXop"
"75","Battle - Cause & Affect Remix V.I.P","Riddim Commission","Bass Mentality 001","4:58","GBZJC1700318","https://open.spotify.com/track/1GHE6XQovOGNF0IgHQdU14"
"76","Mind Bender","Ego Trippin","All City LP Sampler","4:26","GB8KE1850070","https://open.spotify.com/track/171G6g0QRJmDmkbR6XClOH"
"77","Marrow","Bou","Marrow/ Think Twice","4:23","GB8KE1756921","https://open.spotify.com/track/20lc1yYCmFBqBkESBYvtJF"
"78","Metro","Aneesh Chengappa","Metro","4:11","QM42K1604714","https://open.spotify.com/track/4DLerKi5ZYDkuyKZyFdw5A"
"79","Forsaken","Wax Motif","Forsaken","4:16","USYBL1701808","https://open.spotify.com/track/55xxF4mmGXQjmEa340EC7L"
"80","Motion Shift","TS7","Shake the Bass","5:07","FR96X1707774","https://open.spotify.com/track/0g9mY3Uu1mZ7sQ0btAlpPx"
"81","Do What You Wanna Do","Darkzy","Shake the Bass","6:00","FR96X1707765","https://open.spotify.com/track/3xVjz3CCgAEFgt0B19idSu"
"82","I Swear","Bushbaby","Shake the Bass","6:18","FR96X1707768","https://open.spotify.com/track/3VEBoUw14887qQBwCjuQJk"
"83","Eyes On You - Radio Edit","Holy Goof","Eyes On You","3:26","GB2LD1700038","https://open.spotify.com/track/0gSCgz5IXxworALC7Au1sd"
"84","Air","Holy Goof","Air","5:55","GB2LD0902516","https://open.spotify.com/track/3yE6kXUO3obdeMePtTGanY"
"85","Gammy Elbow","DJ Zinc","Gammy Elbow","3:15","QM6N21747401","https://open.spotify.com/track/7Hfv8YkxL6dZRyuKQLMD0H"
"86","The Herd","Cause & Affect","The Herd","4:25","FR2X41631250","https://open.spotify.com/track/7oY3ZDUpvp4kxcBH8WeJn9"
"87","Ocelot","Sample Junkie","In:Flux Audio Sampler","3:43","GBKQU1781066","https://open.spotify.com/track/1pjWfBXCAotS2T6Iiipipd"
"88","Paranoid","Notion","Paranoid","5:57","FR10S1768037","https://open.spotify.com/track/7xsRcWBtQNMxd3s2UcDhCV"
"89","Nightmares","Chris Lorenzo","Foot & Mouth","3:59","USYBL1600756","https://open.spotify.com/track/3S06By2JGC4BfKpEK1LeUY"
"90","Wickedest Ting","Hybrid Theory","Shake the Bass","4:04","FR96X1707777","https://open.spotify.com/track/72NHIp0mMqdbOieIcL47kg"
"91","Coastin Through Karachi - Ego Trippin Remix","Pacso","Re-Fixes","5:11","GB8KE1850657","https://open.spotify.com/track/2pxIzUyTATk0XKUpcvN3Y3"
