!!!;seen live;electronic;indie
mndbd;unknown;unknown;unknown
Hashfinger;instrumental hip-hop;Hip-Hop;beats
La Gale;Hip-Hop;rap;swiss
Helms Alee;Sludge;post-hardcore;Post-Metal
Sub Focus;Drum and bass;electronic;dnb
Fumuj;dub;electronic;Hip-Hop
Infinity;black metal;eurodance;dance
Yeasayer;seen live;experimental;psychedelic
Ganz;electronic;seen live;ambient
Nobody;electronic;trip-hop;Hip-Hop
BADBADNOTGOOD;jazz;experimental;Hip-Hop
Lady Paradox;hip hop;UKHH;brit-hop
White Lung;punk;punk rock;post-punk
Joyryde;bass house;trap;seen live
Soul Khan;Hip-Hop;underground hip-hop;hip hop
Ricky Tuff;reggae;Drum and bass;jungle
TyDro;unknown;unknown;unknown
Chemical Noise;unknown;unknown;unknown
Stefan ZMK;tekno;Hardtek;seen live
Subjected;techno;Industrial Techno;minimal techno
Dirty Art Club;downtempo;instrumental hip-hop;Hip-Hop
Joanna Newsom;folk;singer-songwriter;female vocalists
Leland;indie;hard rock;Love
Nightwish;symphonic metal;Power metal;Gothic Metal
Camp Lo;Hip-Hop;rap;underground hip-hop
Covey;unknown;unknown;unknown
Tati Zaqui;indie;pop;brazil
Night Sounds;instrumental;ambient;unknown
MC Bomber;hip hop;rap;Deutschrap
Clean Bandit;electronic;indie;experimental
Rite Hook;Hip-Hop;underground hip-hop;hardcore hip-hop
Ill Chemistry;seen live;unknown;unknown
Lights ;post-rock;instrumental;ambient
Joe Kickass;Hip-Hop;underground hip-hop;rap
Luigi Madonna;techno;minimal;minimal techno
Culture Club;80s;new wave;pop
Dj Lion;House;Progressive House;electronic
Majical Cloudz;electronic;seen live;experimental
semedo;unknown;unknown;unknown
Koznik;jump up;Drum and bass;Drum n Bass
Culture Freeman And Bush Chemists;unknown;unknown;unknown
The Old Firm Casuals;Oi;street punk;punk
TOKiMONSTA;electronic;instrumental hip-hop;Hip-Hop
Ironlung;noise;Drum and bass;jump up
Bukez Finezt;dubstep;Drum and bass;wobble
j^p^n;Hip-Hop;electronic;instrumental
Matt Corby;indie;folk;australian
Sexion d'Assaut;rap;french;Hip-Hop
Calyx;Drum and bass;neurofunk;dnb
Puppetmastaz;seen live;Hip-Hop;hip hop
Dinka;Progressive House;trance;House
Onry Ozzborn;Hip-Hop;underground hip-hop;oldominion
Dgtalsystem;unknown;unknown;unknown
The Rolling Stones;classic rock;rock;british
All the Saints;shoegaze;psychedelic;post-rock
Ellie Goulding;female vocalists;electronic;british
Five Knives;electronic;indie;industrial
O.T. Genasis;Hip-Hop;rap;BAKING SODA
Maga Bo;brazilian;lounge;chillout
Cloves;pop;australian;electronic
Quickly Quickly;Hip-Hop;electronic superhighway;unknown
Kehlani;rnb;soul;Hip-Hop
Nature Sounds;Nature;ambient;nature sounds
Yellow Ostrich;indie;folk;american
Bokki;unknown;unknown;unknown
Wilkinson;Drum and bass;liquid funk;neurofunk
K-Otix;Hip-Hop;underground hip-hop;rap
45 Prince;unknown;unknown;unknown
Bobby ;Rock and Roll;Kinescope;unknown
Bëlga;hungarian;Hip-Hop;seen live
Blue Sky Black Death;instrumental hip-hop;Hip-Hop;abstract hip-hop
Worakls;techno;minimal;minimal techno
Jewelz;House;electro house;Progressive House
Slimmah Sound;dub;reggae;Slimmah Sound Roots Reggae Amsterdam Bush and Shadow Records BSR Jah Melodie
Maximono;House;deep house;electronic
Claes Rosen;Progressive House;deep house;Progressive
Jeremy Irons ;unknown;unknown;unknown
The Brian Jonestown Massacre;psychedelic;shoegaze;indie
Roky Erickson;psychedelic;rock;seen live
Disney Pictures;unknown;unknown;unknown
Northern Lite;electronic;synthpop;Electroclash
Talasemik;Hardtek;tribecore;unknown
Weedthief;lo-fi beats;unknown;unknown
Chamillionaire;rap;Hip-Hop;Dirty South
fushou.;beats;Hip-Hop;hip hop
Rocker T;reggae;Rasta;dub
Shania Twain;country;pop;female vocalists
Toše Proeski;Macedonian;pop;balkan
Taj Mahal;blues;blues rock;folk
Merkaba;psytrance;psychedelic;black metal
Ana Tijoux;Hip-Hop;latin;rap
Lenny Jordan;unknown;unknown;unknown
Fatboy Slim;electronic;big beat;dance
Mandrágora;folk;Portugal;portuguese folk
Sayag Jazz Machine;jazz;electronic;Drum and bass
MR SWAGG 360;unknown;unknown;unknown
Ago;dance;Italo Disco;trance
Hot Since 82;deep house;tech house;House
Benly;electronic;New Zealand;auckland
Still Corners;dream pop;indie pop;Lo-Fi
Young the Giant;indie rock;indie;rock
Ego Trippin;Drum and bass;Drum n Bass;clownstep
Marcus Worgull;deep house;House;electronic
Tipsy;lounge;trip-hop;electronic
Hidden Empire;unknown;unknown;unknown
Sebastian Boldt;minimal;electro;Los Trompetos
Black Grass;trip-hop;nu jazz;Hip-Hop
Alice Cooper;hard rock;classic rock;rock
Dub Incorporation;reggae;dub;french
Rin';japanese;j-pop;instrumental
Mustard;rap;Hip-Hop;hip hop
The Blind Shake;punk;Garage Punk;rock
Patara;psytrance;psychedelic trance;progressive trance
Jacob;progressive trance;indie;punk
Meek Mill;Hip-Hop;rap;meek mill
Nina Kraviz;deep house;seen live;House
